2014-11-12 09:07:00 INFO  [SysParameter] [load] [Thread-4] - Vamos a iniciar la carga de los parametros del sistema.
2014-11-12 09:07:00 INFO  [GenerateBL] [findEPVTBol] [DefaultQuartzScheduler_Worker-1] - Se va obtener historiales con estado EPV 
2014-11-12 09:07:00 INFO  [GenerateBL] [findEPVTBol] [DefaultQuartzScheduler_Worker-1] - No se encontro historiales con estado EPV
2014-11-12 09:07:00 INFO  [Generate] [retryTBol] [DefaultQuartzScheduler_Worker-1] - Termino el proceso de reintentos, No se encontro historiales con estado EPV 
2014-11-12 09:07:00 INFO  [Generate] [retryTBol] [DefaultQuartzScheduler_Worker-1] - No se encontro historiales con estado EPV 
2014-11-12 09:07:00 INFO  [QuartzGenerate] [execute] [DefaultQuartzScheduler_Worker-1] - [execute]: Fin de tarea programada Quartz
2014-11-12 09:07:00 INFO  [SysParameter] [load] [Thread-3] - Los parametros fueron cargados satisfactoriamente.
2014-11-12 09:07:00 INFO  [SysParameter] [load] [Thread-4] - Los parametros fueron cargados satisfactoriamente.
2014-11-12 09:07:00 INFO  [DetalleLlamadaWS] [conectarWs] [Thread-3] - Estableciendo conexion segura al servicio web con wsdl https://172.31.94.5:8443/DetalleTransaccionWS/DetalleTransaccionWS?wsdl, keystore C:/Users/pedro/Desktop/Detalle de Llamadas/generateJAR/etc/server.keystore, ip 172.31.94.5, port 8443
2014-11-12 09:07:00 INFO  [DetalleLlamadaWS] [conectarWs] [Thread-4] - Estableciendo conexion segura al servicio web con wsdl https://172.31.94.5:8443/DetalleTransaccionWS/DetalleTransaccionWS?wsdl, keystore C:/Users/pedro/Desktop/Detalle de Llamadas/generateJAR/etc/server.keystore, ip 172.31.94.5, port 8443
2014-11-12 09:07:01 INFO  [DetalleLlamadaWS] [conectarWs] [Thread-3] - Conexion establecido al servicio web https://172.31.94.5:8443/DetalleTransaccionWS/DetalleTransaccionWS?wsdl con versionId Version 2.0, Desarrollado por Micrium
2014-11-12 09:07:01 INFO  [DetalleLlamadaWS] [conectarWs] [Thread-4] - Conexion establecido al servicio web https://172.31.94.5:8443/DetalleTransaccionWS/DetalleTransaccionWS?wsdl con versionId Version 2.0, Desarrollado por Micrium
2014-11-12 09:07:01 INFO  [GenerateBL] [findCorreoByIdTBol] [Thread-3] - Se va obtener el correo con id 1-199
2014-11-12 09:07:01 INFO  [GenerateBL] [findCorreoByIdTBol] [Thread-4] - Se va obtener el correo con id 1-200
2014-11-12 09:07:01 INFO  [TBolCorreoDAO] [find] [Thread-4] - Obteniendo el correo con id 1-200
